t,sim,$x$,$y$,$z$,V,control_input,state,status
0.0,0,-2.6667795181274414,-4.4066691398620605,-4.230413436889648,0.04341644048690796,"[ 2.6689285e+01 -3.1431982e+01 -1.0000000e+02 -3.8194704e-01
  5.3659879e-02  2.9164854e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.0,1,4.272678375244141,1.2556419372558594,-9.504053115844727,0.04896373674273491,"[-5.2894665e+01 -1.0000000e+02 -5.9964457e+00 -1.2232002e-01
  3.7587661e-02 -1.0362707e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.0,2,9.671600341796875,1.687582015991211,2.538238525390625,0.04914851114153862,"[-1.0000000e+02 -1.0000000e+02 -1.0000000e+02 -7.6222038e-01
  4.0515441e-02 -1.0375525e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.0,3,8.033437728881836,7.500343322753906,-7.151076793670654,0.055512454360723495,"[-1.0000000e+02 -1.0000000e+02 -5.5174492e+01 -5.6383860e-01
  3.1678371e-02 -1.2323503e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.01,0,-2.6667795181274414,-4.4066691398620605,-4.230413436889648,0.04339788481593132,"[ 2.5073999e+01 -2.8272377e+01 -1.0000000e+02 -3.6409822e-01
  5.2489597e-02  2.9034156e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.01,1,4.272678375244141,1.2556419372558594,-9.504053115844727,0.04892462119460106,"[-4.9693367e+01 -1.0000000e+02 -4.7940254e+00 -1.0399753e-01
  3.6539800e-02 -1.0193539e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.01,2,9.671600341796875,1.687582015991211,2.538238525390625,0.049081336706876755,"[-1.0000000e+02 -9.6667343e+01 -1.0000000e+02 -7.1904165e-01
  3.9338611e-02 -1.0287937e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.01,3,8.033437728881836,7.500343322753906,-7.151076793670654,0.05544944107532501,"[-9.8006332e+01 -1.0000000e+02 -4.4110786e+01 -4.6652400e-01
  3.0643366e-02 -1.1959366e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.02,0,-2.6665008068084717,-4.406997203826904,-4.231457233428955,0.043381258845329285,"[ 2.3561119e+01 -2.5424936e+01 -1.0000000e+02 -3.4896338e-01
  5.1167123e-02  2.9141149e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.02,1,4.272126197814941,1.2545981407165527,-9.50411605834961,0.04888690263032913,"[-4.6676800e+01 -1.0000000e+02 -3.8316836e+00 -8.8627331e-02
  3.5526950e-02 -1.0075579e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.02,2,9.67055606842041,1.6865382194519043,2.5371947288513184,0.0490122027695179,"[-1.0000000e+02 -8.6934196e+01 -1.0000000e+02 -6.7533112e-01
  3.8110442e-02 -1.0219172e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.02,3,8.032393455505371,7.4992995262146,-7.151652812957764,0.05538836866617203,"[-9.2061623e+01 -1.0000000e+02 -3.5252678e+01 -3.8313627e-01
  2.9626343e-02 -1.1574571e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.03,0,-2.6659605503082275,-4.407620429992676,-4.233544826507568,0.04336649924516678,"[ 2.2144098e+01 -2.2859451e+01 -1.0000000e+02 -3.3697954e-01
  5.0058905e-02  2.9532984e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.03,1,4.271055221557617,1.25251042842865,-9.504228591918945,0.04885038360953331,"[-4.3834564e+01 -1.0000000e+02 -3.0615199e+00 -7.5734191e-02
  3.4547694e-02 -1.0017172e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.03,2,9.668468475341797,1.6844853162765503,2.535107135772705,0.04894199222326279,"[-1.0000000e+02 -7.8164124e+01 -1.0000000e+02 -6.3575232e-01
  3.6917616e-02 -1.0166781e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.03,3,8.030326843261719,7.497211933135986,-7.152688980102539,0.055329009890556335,"[-8.6463829e+01 -1.0000000e+02 -2.8160988e+01 -3.1205431e-01
  2.8656507e-02 -1.1203860e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.04,0,-2.6651742458343506,-4.408509254455566,-4.236676216125488,0.043353524059057236,"[ 2.0816923e+01 -2.0548618e+01 -1.0000000e+02 -3.2851577e-01
  4.9124308e-02  3.0290705e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.04,1,4.269496917724609,1.2493789196014404,-9.50438117980957,0.04881487041711807,"[-4.1156910e+01 -1.0000000e+02 -2.4451761e+00 -6.4921692e-02
  3.3599623e-02 -1.0029662e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.04,2,9.665336608886719,1.6815249919891357,2.531975507736206,0.0488705188035965,"[-1.0000000e+02 -7.0262184e+01 -1.0000000e+02 -6.0041440e-01
  3.5746410e-02 -1.0134984e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.04,3,8.027298927307129,7.494080543518066,-7.154093265533447,0.05527067556977272,"[-8.1192757e+01 -1.0000000e+02 -2.2483953e+01 -2.5189143e-01
  2.7723350e-02 -1.0853945e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.05,0,-2.664156913757324,-4.409636497497559,-4.240851402282715,0.043342262506484985,"[ 1.9573975e+01 -1.8467812e+01 -1.0000000e+02 -3.2404521e-01
  4.8046403e-02  3.1542358e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.05,1,4.267481327056885,1.2452034950256348,-9.504566192626953,0.04878019541501999,"[-3.8634609e+01 -9.7638763e+01 -1.9519550e+00 -5.5862736e-02
  3.2687400e-02 -1.0128820e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.05,2,9.661161422729492,1.677748680114746,2.5278000831604004,0.04879767447710037,"[-9.4502983e+01 -6.3142788e+01 -1.0000000e+02 -5.6945068e-01
  3.4632172e-02 -1.0129340e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.05,3,8.023368835449219,7.48990535736084,-7.155791759490967,0.05521279200911522,"[-7.6229469e+01 -1.0000000e+02 -1.7939802e+01 -2.0123033e-01
  2.6835416e-02 -1.0530380e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.06,0,-2.6629221439361572,-4.410978317260742,-4.246070384979248,0.04333268105983734,"[ 1.8410023e+01 -1.6594627e+01 -1.0000000e+02 -3.2471812e-01
  4.6990421e-02  3.3476776e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.06,1,4.265036106109619,1.2399842739105225,-9.504776000976562,0.04874648526310921,"[-3.6258995e+01 -8.7735794e+01 -1.5573192e+00 -4.8193868e-02
  3.1798575e-02 -1.0310607e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.06,2,9.6559419631958,1.67323899269104,2.522580862045288,0.048724934458732605,"[-8.8722069e+01 -5.6728817e+01 -1.0000000e+02 -5.4240143e-01
  3.3549521e-02 -1.0193319e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
0.06,3,8.018590927124023,7.484686374664307,-7.157724857330322,0.05515492707490921,"[-7.1556107e+01 -1.0000000e+02 -1.4302949e+01 -1.5873478e-01
  2.5982745e-02 -1.0237730e+00]","[ 0.04753708 -4.94619    -9.930877    0.          0.          0.
  0.         -0.02381257 -0.03179799 -0.03406648 -0.4531493   0.01840165
  0.68604463  0.          0.          0.          0.          0.
  0.        ]",active
0.07,0,-2.6614830493927,-4.41251277923584,-4.252333641052246,0.04332471638917923,"[ 1.7320204e+01 -1.4908843e+01 -1.0000000e+02 -3.3226174e-01
  4.5832094e-02  3.6416730e-01]","[-0.02247782 -5.0348506  -9.909457    0.          0.          0.
  0.          0.01908754  0.01496254 -0.05036048  0.22215033  0.01916136
 -0.54373103  0.          0.          0.          0.          0.
  0.        ]",active
0.07,1,4.262187480926514,1.2337459325790405,-9.505006790161133,0.04871447756886482,"[-3.4021744e+01 -7.8810364e+01 -1.2415746e+00 -4.1439377e-02
  3.0935453e-02 -1.0499145e+00]","[ 0.05673613 -4.935792   -9.949386    0.          0.          0.
  0.         -0.03067121 -0.03912321 -0.02239275 -0.22377415  0.01955525
  0.80573505  0.          0.          0.          0.          0.
  0.        ]",active
0.07,2,9.649736404418945,1.6680701971054077,2.516317844390869,0.04865232855081558,"[-8.3279335e+01 -5.0950638e+01 -1.0000000e+02 -5.1932782e-01
  3.2511503e-02 -1.0347912e+00]","[ 0.04541975 -4.9554625  -9.923169    0.          0.          0.
  0.         -0.02228047 -0.02566776 -0.03955314 -0.46787694  0.01823744
  0.64921886  0.          0.          0.          0.          0.
  0.        ]",active
